speaker,age,sex,pretest,posttest,learning,rate_sps,vot_M,vot_SD,vot_CoV,stop_n_tokens
F3_32,3,F,62.970297029703,67.6767676767677,4.7064706470647,3.2,72.4035942961984,32.0435888965854,44.5602834115866,28.6666666666667
F4_33,4,F,66.5841584158416,68.3168316831683,1.7326732673267,2.85,75.207114450188,46.4187608087714,58.5338741965495,23.6086956521739
F4_34,4,F,66.1386138613861,86.969696969697,20.8310831083109,3.11,73.6700665089628,29.8041393325051,41.1944897147327,24.3823529411765
F4_37,4,F,69.9257425742574,78.960396039604,9.03465346534661,3.07,73.8197010435083,33.200641056752,44.054851256132,19.5614035087719
F5_06,5,F,71.8371837183718,83.3883388338834,11.5511551155116,2.96,69.7131668472822,29.9725698715512,42.301576833759,21.3548387096774
F5_07,5,F,85.8085808580858,86.9086908690869,1.10011001100109,2.84,77.0428745710246,29.5637499369884,38.6700368664447,22.6
F5_08,5,F,81.958195819582,83.6083608360836,1.6501650165016,2.94,93.104850580289,32.2747034464915,34.5046203706391,19.3157894736842
F5_09,5,F,75.3575357535754,80.0880088008801,4.7304730473047,2.71,93.7351448324653,27.2415922175482,28.8403575102092,21.1290322580645
F5_15,5,F,71.2871287128713,74.8514851485149,3.5643564356436,3.57,109.88672555685,54.9075704586258,49.6366129310622,21.984126984127
F5_17,5,F,63.2425742574257,70.049504950495,6.80693069306931,3.24,53.241918310018,21.2479595614397,43.4106687321659,23.1269841269841
F5_25,5,F,64.0594059405941,81.980198019802,17.9207920792079,2.79,100.205910192742,40.8203369241219,41.1167128406645,19.8813559322034
F5_31,5,F,76.5346534653465,84.950495049505,8.4158415841585,3.63,80.9195575957346,30.3129981540722,36.8919806221065,22.40625
F5_44,5,F,67.003367003367,65.7502863688431,-1.2530806345239,2.4,74.5363169684741,36.4526214248333,50.7020938091146,19.4561403508772
F6_26,6,F,77.3267326732673,80.8080808080808,3.4813481348135,2.7,105.515466872766,59.9313698005112,59.2618846628009,20.8032786885246
F6_28,6,F,72.2772277227723,80.3080308030803,8.030803080308,3.26,56.1467140976007,24.1489695811855,42.8225472468332,22.1803278688525
F7_21,7,F,67.5645342312009,83.1683168316832,15.6037826004823,3.3,104.259784463628,44.060449758882,40.8114153190713,19.8965517241379
F7_36,7,F,80.0224466891134,88.6688668866887,8.64642019757531,3.29,97.5419955517085,49.4439023832326,46.3548730093334,22.9402985074627
F7_39,7,F,83.3883388338834,88.8888888888889,5.50055005500551,3.46,82.1897570049792,28.7666924021839,34.974165298172,19.6551724137931
F7_43,7,F,86.6336633663366,83.9175257731959,-2.7161375931407,3.61,67.1898923719571,28.2298269652898,42.7070150368018,21.3870967741935
F8_23,8,F,85.4455445544555,89.7224418093983,4.27689725494281,2.7,81.3186151539611,36.4601789574004,44.7148870270854,24.1176470588235
F8_29,8,F,94.8484848484848,96.8316831683168,1.983198319832,3.44,72.2661484020844,24.4743050376069,34.5258338549337,23.1194029850746
F8_30,8,F,88.2178217821782,91.4851485148515,3.2673267326733,3.47,78.5554995303675,22.5393783220522,28.0567108083902,22
F8_40,8,F,75,85.8910891089109,10.8910891089109,3.56,59.5287620050837,25.6039346998679,44.6345000856566,23.2388059701493
M4_16,4,M,66.2266226622662,77.4477447744775,11.2211221122113,2.65,55.4237899805345,26.3114201350934,47.4153580178823,23.9705882352941
M4_20,4,M,72.2772277227723,83.3097595473833,11.032531824611,2.68,141.587167991098,60.7288185045968,43.646590740364,22.3650793650794
M4_27,4,M,75.3575357535754,79.9102132435466,4.55267748997119,3.06,74.3754389475155,27.5072444912909,37.7862047782326,23.2647058823529
M5_01,5,M,83.960396039604,88.019801980198,4.05940594059399,3.92,62.246353969125,25.6833586765175,39.8806141728401,21.3225806451613
M5_10,5,M,68.0968096809681,76.2376237623762,8.14081408140811,2.39,118.347693012708,36.8987534019133,31.4369682205717,24.3823529411765
M5_11,5,M,67.2029702970297,79.5792079207921,12.3762376237624,3.11,59.5484675678839,23.4981503208967,39.4626980316355,22.9393939393939
M5_12,5,M,83.6633663366337,86.0606060606061,2.3972397239724,3.55,75.7095490571649,18.0785183025326,23.9898887924547,22.28125
M5_14,5,M,61.3861386138614,70.1980198019802,8.8118811881188,2.9,93.2177889732016,47.4812465715973,52.7805539646075,21.3
M5_22,5,M,41.7491749174918,42.7392739273927,0.990099009900902,3.17,87.2280928890772,43.5526044494373,49.4853456589108,19.4561403508772
M5_38,5,M,87.4257425742574,87.2277227722772,-0.198019801980195,2.86,51.2791406070831,25.2031042344783,53.9412388893391,21.1967213114754
M5_46,5,M,47.2727272727273,57.6344086021505,10.3616813294232,3.78,71.7701808490883,28.470375893315,40.0844885459709,23.8358208955224
M6_02,6,M,78.8118811881188,85.7425742574257,6.9306930693069,3.52,68.3530097549112,29.8122841634516,43.2277324299279,23.2647058823529
M6_04,6,M,82.6732673267327,83.5855728429986,0.912305516265903,3.13,75.143057262155,40.3670286310504,53.1420374288676,23.2769230769231
M6_35,6,M,73.2673267326733,81.980198019802,8.71287128712871,3.46,84.2517003354952,30.4820392300932,36.0306941349681,21.984126984127
M7_18,7,M,75.940594059406,77.6237623762376,1.6831683168316,3.41,53.9733313497434,22.5124451474941,39.9638981150627,21.6451612903226
M7_24,7,M,87.0049504950495,94.9257425742574,7.9207920792079,3.31,71.7636113138142,29.1608062036809,39.7589525704536,23.4477611940299
M8_05,8,M,81.0891089108911,87.4257425742574,6.3366336633663,3.95,68.839734358252,19.7067743518931,28.8356093515154,21.96875
