speaker,age,sex,pretest,posttest,learning,rate_sps,f1_M,f1_SD,f1_CoV,f2_M,f2_SD,f2_CoV,vowel_MCV,vowel_sep_MD,vowel_n_tokens,within_variance,between_separation,mean_vowel_cluster_size
F3_32,3,F,62.970297029703,67.6767676767677,4.7064706470647,3.2,839.58286231184,144.651210922886,15.4231949125621,2399.45969775258,293.347557290962,13.0434631610044,0.0867111915157834,761.741641372466,26.04,0.0867111915157834,761.741641372466,727260.02223497
F4_33,4,F,66.5841584158416,68.3168316831683,1.7326732673267,2.85,875.498663271048,98.3095441916978,10.8791154606036,2668.4281694274,226.877297262478,9.49844698684011,0.0486916224636174,706.453034947053,17.1194029850746,0.0486916224636174,706.453034947053,359199.232365923
F4_34,4,F,66.1386138613861,86.969696969697,20.8310831083109,3.11,729.592522788483,107.051373574467,14.1978064471684,2314.5098953365,246.219914466806,11.4507632168096,0.0721038115164793,719.571384409329,19.9736842105263,0.0721038115164793,719.571384409329,420880.472748678
F4_37,4,F,69.9257425742574,78.960396039604,9.03465346534661,3.07,718.933177654953,136.089500138542,17.4115223687325,2292.0382346151,231.380082548765,10.5435858157788,0.0770841920082382,601.315788479207,19.921052631579,0.0770841920082382,601.315788479207,503357.285948998
F5_06,5,F,71.8371837183718,83.3883388338834,11.5511551155116,2.96,736.116930735102,90.3217450076569,12.1477030622681,2344.65977773822,203.918868407973,9.04522671720235,0.0632352025362584,598.646399948941,20.2727272727273,0.0632352025362584,598.646399948941,348122.4881033
F5_07,5,F,85.8085808580858,86.9086908690869,1.10011001100109,2.84,718.03753599584,112.398657594989,14.1223733440188,2245.77512290279,222.432911932872,10.5467456307613,0.0763359953010497,574.853907987078,20.2727272727273,0.0763359953010497,574.853907987078,426992.414772554
F5_08,5,F,81.958195819582,83.6083608360836,1.6501650165016,2.94,764.854217363891,116.676009360151,14.3871146311286,2353.13575857364,203.454585808407,8.96774863799009,0.066522286814333,566.55414078325,21.2,0.066522286814333,566.55414078325,476392.867215631
F5_09,5,F,75.3575357535754,80.0880088008801,4.7304730473047,2.71,685.941158355511,93.5404862708942,12.2068691264471,2321.34373314292,253.222292774929,11.4194636393171,0.0588328140321988,553.345845148684,18.9166666666667,0.0588328140321988,553.345845148684,333045.804363163
F5_15,5,F,71.2871287128713,74.8514851485149,3.5643564356436,3.57,805.952087609894,93.674221438917,10.9659350226628,2440.34140363549,265.233660664617,12.4127835729164,0.0680314525616749,759.685323939034,18.6944444444444,0.0680314525616749,759.685323939034,445735.206980936
F5_17,5,F,63.2425742574257,70.049504950495,6.80693069306931,3.24,697.540464669509,93.0438482818133,12.3763493598423,2378.55176592073,209.850639037298,9.33481445008394,0.0574112779144612,608.713013220514,18.9722222222222,0.0574112779144612,608.713013220514,305536.632534529
F5_25,5,F,64.0594059405941,81.980198019802,17.9207920792079,2.79,729.968299756081,122.448789482847,15.0888552435546,2353.90080115119,260.941911392901,11.7807008263121,0.0668625443732156,571.487716199186,17.2388059701493,0.0668625443732156,571.487716199186,546142.36011001
