speaker,age,sex,pretest,posttest,learning,rate_sps,targetStop,stop_n_tokens,vot_M,vot_SD,vot_CoV
M5_11,5,M,67.2029702970297,79.5792079207921,12.3762376237624,3.11,T,17,65.0704973815473,27.484314144503,42.2377502101237
M5_11,5,M,67.2029702970297,79.5792079207921,12.3762376237624,3.11,K,21,69.530229987665,26.1976471931494,37.678067795543
M5_12,5,M,83.6633663366337,86.0606060606061,2.3972397239724,3.55,P,27,68.9789230701288,17.107771860179,24.8014481797375
M5_12,5,M,83.6633663366337,86.0606060606061,2.3972397239724,3.55,T,16,83.6425422889726,16.7888800765916,20.0721781250844
M5_12,5,M,83.6633663366337,86.0606060606061,2.3972397239724,3.55,K,21,78.3190257210246,20.3092023767519,25.9313777077541
M5_14,5,M,61.3861386138614,70.1980198019802,8.8118811881188,2.9,P,27,81.2951740556465,53.7056162253033,66.0624899929999
M5_14,5,M,61.3861386138614,70.1980198019802,8.8118811881188,2.9,T,18,94.6565654182946,46.9859036786616,49.638293414754
M5_14,5,M,61.3861386138614,70.1980198019802,8.8118811881188,2.9,K,15,112.951964090689,36.8717926664496,32.6437817733255
M5_22,5,M,41.7491749174918,42.7392739273927,0.990099009900902,3.17,P,22,97.7509555253783,50.2669118098439,51.4234480263402
M5_22,5,M,41.7491749174918,42.7392739273927,0.990099009900902,3.17,T,15,86.2734443487623,50.2241190293657,58.2150387161241
M5_22,5,M,41.7491749174918,42.7392739273927,0.990099009900902,3.17,K,20,76.3689303943821,31.1632304180437,40.8061632618285
M5_38,5,M,87.4257425742574,87.2277227722772,-0.198019801980195,2.86,P,26,37.3460656753783,29.7224208451081,79.58648470086
M5_38,5,M,87.4257425742574,87.2277227722772,-0.198019801980195,2.86,T,16,58.4272164366202,12.9517471238155,22.1673184411671
M5_38,5,M,87.4257425742574,87.2277227722772,-0.198019801980195,2.86,K,19,64.3260213940163,29.3357085447011,45.6047302615081
M5_46,5,M,47.2727272727273,57.6344086021505,10.3616813294232,3.78,P,30,57.7753658292763,25.166253832787,43.5587961608971
M5_46,5,M,47.2727272727273,57.6344086021505,10.3616813294232,3.78,T,16,79.5770312304319,24.5331414599678,30.8294253764343
M5_46,5,M,47.2727272727273,57.6344086021505,10.3616813294232,3.78,K,21,85.8146972535103,36.1903479290003,42.1726686538184
M6_02,6,M,78.8118811881188,85.7425742574257,6.9306930693069,3.52,P,27,56.0487277528109,22.1492826195196,39.5179043442404
