ID,Sex,Age,IntGain,IntPre,IntPost,STI,Dur,NumRep,STIBC
P1-M5,M,5,4.05940594059399,83.960396039604,88.019801980198,30.2624342744928,1.18867916666667,15,30.8072237616036
P10-M5,M,5,8.14081408140811,68.0968096809681,76.2376237623762,32.7274670691383,1.90242954324587,14,33.3623037765317
P11-M5,M,5,12.3762376237624,67.2029702970297,79.5792079207921,24.7829859205359,1.17473275024295,14,25.2637181797093
P12-M5,M,5,2.3972397239724,83.6633663366337,86.0606060606061,34.5848957325028,1.48705389848247,13,35.3121276620826
P14-M5,M,5,8.8118811881188,61.3861386138614,70.1980198019802,40.4596374275911,1.33594557823129,15,41.1879986996202
P15-F5,F,5,3.5643564356436,71.2871287128713,74.8514851485149,27.006100061935,1.13339612768184,13,27.5739692962496
P16-M4,M,4,11.2211221122113,66.2266226622662,77.4477447744775,36.906189435964,1.74569484936832,14,37.6220836337786
P17-F5,F,5,6.8069306930693,63.2425742574257,70.049504950495,27.6759964066641,1.18363160648875,13,28.2579518482977
P18-M7,M,7,1.6831683168316,75.940594059406,77.6237623762376,38.9753864686328,1.57104761904762,10,40.070955478044
P2-M6,M,6,6.9306930693069,78.8118811881188,85.7425742574257,38.4606519963607,1.65812244897959,15,39.1530271927838
P20-M4,M,4,11.032531824611,72.2772277227723,83.3097595473833,34.041459538921,1.78873469387755,15,34.6542796813622
P21-F7,F,7,15.6037826004823,67.5645342312009,83.1683168316832,35.7353859795791,1.24625850340136,12,36.5557200304785
P22-M5,M,5,0.990099009900902,41.7491749174918,42.7392739273927,37.9213706048265,1.57948717948718,13,38.7187600701746
P23-F8,F,8,4.27689725494281,85.4455445544555,89.7224418093983,29.5897015551583,1.29013082155939,13,30.2118973230474
P24-M7,M,7,7.9207920792079,87.0049504950495,94.9257425742574,35.8256174094809,1.41431292517007,10,36.8326487626771
P25-F5,F,5,17.9207920792079,64.0594059405941,81.980198019802,37.1923887325934,1.2640083725798,13,37.9744495730506
P26-F6,F,6,3.4813481348135,77.3267326732673,80.8080808080808,28.1726626840467,1.221810570382,13,28.7650617476027
P27-M4,M,4,4.55267748997119,75.3575357535754,79.9102132435466,36.4748683909221,1.34857142857143,12,37.3121778454848
P28-F6,F,6,8.030803080308,72.2772277227723,80.3080308030803,27.5724120752112,1.18312925170068,12,28.205358603441
P29-F8,F,8,1.983198319832,94.8484848484848,96.8316831683168,25.9714777225707,0.99876504447933,13,26.5175914944412
P30-F8,F,8,3.2673267326733,88.2178217821782,91.4851485148515,31.7276555590283,1.07646258503401,12,32.455988988116
P31-F5,F,5,8.4158415841585,76.5346534653465,84.950495049505,32.1644187482394,1.05556462585034,15,32.7434480832271
P32-F3,F,3,4.7064706470647,62.970297029703,67.6767676767677,33.4229442569228,1.06122448979592,12,34.1901943789989
P33-F4,F,4,1.7326732673267,66.5841584158416,68.3168316831683,30.2538649208217,1.44284667713239,13,30.8900263461383
P34-F4,F,4,20.8310831083109,66.1386138613861,86.969696969697,16.1288703748797,1.43882783882784,13,16.468019280095
P35-M6,M,6,8.71287128712871,73.2673267326733,81.980198019802,29.5909548080453,1.24936831875607,14,30.1649504759435
P36-F7,F,7,8.64642019757531,80.0224466891134,88.6688668866887,26.3555306986619,1.31789734075448,11,27.0216113334429
P37-F4,F,4,9.03465346534661,69.9257425742574,78.960396039604,20.9844185373665,1.24190476190476,14,21.3914674282167
P38-M5,M,5,-0.198019801980195,87.4257425742574,87.2277227722772,36.191893820423,1.80136054421769,12,37.0227073698946
P39-F7,F,7,5.5005500550055,83.3883388338834,88.8888888888889,29.0520641644699,1.30218733647305,13,29.6629547926798
P4-M6,M,6,0.912305516265903,82.6732673267327,83.5855728429986,29.191299117753,1.39555208333333,14,29.7575423952209
P40-F8,F,8,10.8910891089109,75,85.8910891089109,29.9102929143159,1.22528138528139,11,30.6662126914071
P43-F7,F,7,-2.7161375931407,86.6336633663366,83.9175257731959,27.9944375953854,1.37438289601555,14,28.5374645443039
P44-F5,F,5,-1.2530806345239,67.003367003367,65.7502863688431,34.3008701030826,1.59556253270539,13,35.0221296998807
P46-M5,M,5,10.3616813294232,47.2727272727273,57.6344086021505,32.7378079866171,1.2512342079689,14,33.3728452837472
P5-M8,M,8,6.3366336633663,81.0891089108911,87.4257425742574,21.2800505402978,1.17473275024295,14,21.6928340040969
P6-F5,F,5,11.5511551155116,71.8371837183718,83.3883388338834,30.4573113209872,1.30316369047619,14,31.0481122893061
P7-F5,F,5,1.10011001100109,85.8085808580858,86.9086908690869,38.0050514784049,1.57216715257532,14,38.7422610428939
P8-F5,F,5,1.6501650165016,81.958195819582,83.6083608360836,36.1990145052341,1.49006802721088,14,36.9011911549223
P9-F5,F,5,4.7304730473047,75.3575357535754,80.0880088008801,27.5190004746016,1.33420408163265,15,28.0144022000007
