"analysis","r","statistic","df","p_value","conf_low","conf_high","n"
"STI x VOT CV",0.232963087880735,1.47671179233068,38,0.14799285579575,-0.084692404092124,0.50763339042111,40
"STI x vowel MCV",0.205846684250274,1.29669384869118,38,0.202555569229782,-0.112902318932862,0.486180594000295,40
