"speaker","targetStop","n","skew","mean_minus_median","shapiro_p"
"F3_32","P",34,0.303083606813769,1.45034133268923,0.783191913804271
"F3_32","T",24,0.257550992053576,4.64951225693167,0.897573316968229
"F3_32","K",26,0.831831266592985,7.50989310521423,0.144336466406541
"F4_33","P",28,-0.0988799897621302,0.242237780184318,0.37584434967869
"F4_33","T",19,-0.195990147370848,-0.57794868372406,0.653098004911208
"F4_33","K",22,3.07115109171064,14.9442695933253,3.34599142450958e-06
"F4_34","P",31,2.81607882536548,4.98772097254076,1.48482281537954e-06
"F4_34","T",16,-0.56129108711724,-1.69319083707448,0.178385882350963
"F4_34","K",21,-0.0825698173901322,1.31264967308401,0.930466457691942
"F4_37","P",23,-0.155124578150921,-7.9340916259702,0.279099949541046
"F4_37","T",15,0.90247268069839,9.77163873296405,0.0761855557725017
"F4_37","K",19,-0.238921603283409,-9.7392392183128,0.116326886616332
"F5_06","P",26,0.769458613195694,4.06512258617639,0.268914369063943
"F5_06","T",18,-0.218089388516393,-9.98402658431803,0.503907387066297
"F5_06","K",18,-0.211104760772185,1.36900374295952,0.539378484683465
"F5_07","P",28,0.482021221136582,3.05839011173603,0.687249079367764
"F5_07","T",19,0.815768205334023,7.22857665573149,0.0753513551166154
"F5_07","K",18,0.290973827753185,5.87815820431301,0.672993851487294
"F5_08","P",22,0.0875790357653947,-2.28898382008261,0.410511274091459
"F5_08","T",16,1.49609003979515,8.51280681834088,0.00728939634821367
"F5_08","K",19,0.596871919636006,8.34239417571064,0.135199324545025
"F5_09","P",25,0.342096262133634,3.18754093529733,0.88480919826352
"F5_09","T",18,-0.125139432615475,-8.18009560333779,0.169321592605979
"F5_09","K",19,-0.348068162852973,-4.85004520557422,0.341501180359617
"F5_15","P",27,2.98192125096704,15.0932488598052,9.88489967017184e-07
"F5_15","T",16,0.142001286436475,1.19956221771911,0.974011320353339
"F5_15","K",20,-0.286814167432666,2.94351315535408,0.500198700901737
"F5_17","P",30,1.44526437405703,3.99008419904364,0.000604968178932531
"F5_17","T",14,1.62694672289906,3.06680051570034,0.0132760314031071
"F5_17","K",19,0.0736664723803312,-1.23574718725905,0.887207678956685
"F5_25","P",22,1.05951260107796,3.9519165882796,0.0410371098096704
"F5_25","T",17,0.261846483690253,-5.94647899626122,0.50172721081363
"F5_25","K",20,0.169703501938017,-1.61359304894511,0.793330195981089
"F5_31","P",28,-0.316004713725735,-2.34914299166927,0.3889462972003
"F5_31","T",17,0.796166449709779,3.9515230081963,0.306886698081723
"F5_31","K",19,-0.459522454543196,-8.98890745191233,0.301242768193415
"F5_44","P",22,1.3065623933881,13.429964323898,0.00626861026893314
"F5_44","T",15,0.702062258540397,7.36952356340943,0.490574203600507
"F5_44","K",20,0.0104425593344223,-0.979589947703374,0.767906077646735
"F6_26","P",23,1.8165057867955,3.53545915863747,0.00138839362779996
"F6_26","T",16,1.92812527101894,18.3007059031116,0.00278944440032488
"F6_26","K",22,0.538543388221507,7.48492844298616,0.181315798075275
"F6_28","P",28,0.685139586956457,2.97712901826053,0.214736750271755
"F6_28","T",13,0.0565506537663392,-2.5912485874814,0.852609348139761
"F6_28","K",20,2.21002600371895,2.31238138459631,0.000298298619717038
"F7_21","P",23,-0.627671674287292,2.34856047582973,0.255801056628679
"F7_21","T",15,0.354100697106432,1.70942551895052,0.759589351968395
"F7_21","K",20,2.51715122003622,16.0799916854916,3.96340962388935e-05
"F7_36","P",27,-0.338692866313825,1.37378887552929,0.291641726276847
"F7_36","T",18,0.269847383409453,4.71636320160243,0.779685156106632
"F7_36","K",22,3.57810830859672,15.825496012801,2.66661714321934e-07
"F7_39","P",22,1.48666974717338,0.832700403984376,0.00208956247566017
"F7_39","T",16,0.191066835381218,6.89770019943082,0.288094014575907
"F7_39","K",20,-0.0166756685898651,-2.65121984839389,0.882509818093304
"F7_43","P",26,0.950717677751165,2.42080958268356,0.0501191581339894
"F7_43","T",17,0.677068019541572,4.6691041023483,0.0806428665118542
"F7_43","K",19,0.103586857497102,1.94482776556383,0.376239821147874
"F8_23","P",30,1.92237901541872,4.49460745270673,0.000169392126355824
"F8_23","T",16,0.684095869590805,4.65186399569473,0.668849428228473
"F8_23","K",22,1.15741377097902,9.07325753295743,0.0468174293105662
"F8_29","P",28,0.976780316486078,2.66502567638329,0.0310301893439979
"F8_29","T",18,0.311339425682127,-5.12930842767265,0.25895714661279
"F8_29","K",21,0.427721251416814,2.76746007368479,0.846337627486083
"F8_30","P",28,0.771673922837488,5.01811064055551,0.0623525366510079
"F8_30","T",16,-0.186376468102668,-0.0757421326343888,0.985544511120105
"F8_30","K",18,0.607789865852077,7.66911014144887,0.336588788679589
"F8_40","P",28,1.07859484117114,2.7253057924768,0.0339891493108147
"F8_40","T",17,0.104861093178256,1.12757378439292,0.460357170451524
"F8_40","K",22,0.372717269887912,7.42224530678503,0.0980813602753583
"M4_16","P",30,0.362586381230836,0.706810159556184,0.0536127881760106
"M4_16","T",17,0.14525091349395,1.49363308728034,0.783268069774184
"M4_16","K",21,-0.275327699293254,-3.94949610695674,0.57580576597601
"M4_20","P",28,2.13148814324654,19.6097004357781,1.85098510574066e-05
"M4_20","T",15,0.0285460433380628,-3.4089374545656,0.896028026570882
"M4_20","K",20,0.95844699757442,9.96808731907174,0.0888774482329301
"M4_27","P",27,0.53242718797354,2.160799857416,0.465188178865367
"M4_27","T",18,0.500237782795963,2.35711114309753,0.677288379031348
"M4_27","K",23,0.507702997617731,-1.97196644071619,0.722008487783129
"M5_01","P",25,0.939920755674464,4.32489211188425,0.0439992714552518
"M5_01","T",16,2.59829222724426,12.1013189788053,8.10175080168669e-05
"M5_01","K",21,0.862968581128434,4.61395550275056,0.0433166756742472
"M5_10","P",31,0.840820507319577,1.48841796923392,0.0509419015726662
"M5_10","T",16,-0.631386868570181,-9.88300267820517,0.23715706785576
"M5_10","K",21,0.827303768211472,6.00675421788463,0.34255693166492
"M5_11","P",28,0.816587071195672,5.99446875625276,0.155548694044723
"M5_11","T",17,1.0272353157308,3.78946979034049,0.0339650265789782
"M5_11","K",21,0.36364216684336,4.30934047783386,0.788553428093499
"M5_12","P",27,0.611634568582384,3.62102080750627,0.11792080062411
"M5_12","T",16,0.319720217949503,2.79452172295657,0.140409119161389
"M5_12","K",21,0.365555369133631,1.53427479029726,0.839612341177915
"M5_14","P",27,2.09863557103643,15.0877903044553,2.44255726688518e-05
"M5_14","T",18,-0.238458278995998,-4.42614283044603,0.646786199901624
"M5_14","K",15,0.214758326364936,8.4144099600735,0.72726101835421
"M5_22","P",22,0.801185945693641,15.549782460817,0.238633179240837
"M5_22","T",15,0.859765901283317,28.0356500031045,0.0335197588824422
"M5_22","K",20,0.666185658058726,4.98904874979331,0.362998285904943
"M5_38","P",26,1.37758184372074,7.88669796375257,0.00184257665711031
"M5_38","T",16,-0.187473374771117,2.28796549491194,0.879736457112742
"M5_38","K",19,0.861298658956843,4.20578232218068,0.143622059979527
"M5_46","P",30,-0.0541809308412265,1.50201274027199,0.659424914910484
"M5_46","T",16,0.104121224403307,1.39329651714337,0.611485641301227
"M5_46","K",21,0.640319738942932,14.4958758321032,0.102219533379062
"M6_02","P",27,-0.0303605304856074,-1.4878867028317,0.373835478231524
"M6_02","T",18,1.67449187057032,0.281468499803793,0.00224569878961378
"M6_02","K",23,1.42621204017073,1.23203630022967,0.0149430457073972
"M6_04","P",30,-0.0770195115394653,0.690245604763128,0.0723011098092297
"M6_04","T",18,1.30129927217095,24.8575758762954,0.00988720412129705
"M6_04","K",17,0.965417537675915,16.2124916638203,0.0550885748595657
